Fold_date,Total_points,Total_Folders
18-Mar-2025 00 UTC,11796.61,1143
17-Mar-2025 12 UTC,11494.0,1134
17-Mar-2025 00 UTC,11662.01,1139
16-Mar-2025 12 UTC,11321.58,1087
16-Mar-2025 00 UTC,11282.83,1117
15-Mar-2025 12 UTC,11458.7,1113
15-Mar-2025 00 UTC,11556.23,1143
14-Mar-2025 12 UTC,11155.23,1093
14-Mar-2025 00 UTC,11817.45,1155
13-Mar-2025 12 UTC,11438.95,1126
13-Mar-2025 00 UTC,11704.02,1149
12-Mar-2025 12 UTC,11353.88,1142
12-Mar-2025 00 UTC,11677.13,1146
11-Mar-2025 12 UTC,11240.6,1136
11-Mar-2025 00 UTC,11161.93,1118
10-Mar-2025 12 UTC,11345.89,1124
10-Mar-2025 00 UTC,11421.73,1132
09-Mar-2025 12 UTC,11789.87,1136
09-Mar-2025 00 UTC,11692.28,1147
08-Mar-2025 12 UTC,11689.13,1146
08-Mar-2025 00 UTC,11342.44,1168
07-Mar-2025 12 UTC,10127.71,1034
07-Mar-2025 00 UTC,10035.76,1009
06-Mar-2025 12 UTC,10332.02,1026
06-Mar-2025 00 UTC,10167.28,1010
05-Mar-2025 12 UTC,10308.95,1026
05-Mar-2025 00 UTC,11118.11,1115
04-Mar-2025 12 UTC,11526.73,1145
04-Mar-2025 00 UTC,12355.37,1192
03-Mar-2025 12 UTC,11580.58,1145
03-Mar-2025 00 UTC,12820.03,1544
02-Mar-2025 12 UTC,13377.03,1703
02-Mar-2025 00 UTC,13449.15,1696
01-Mar-2025 12 UTC,13567.92,1709
01-Mar-2025 00 UTC,13560.35,1716
28-Feb-2025 12 UTC,13309.5,1663
28-Feb-2025 00 UTC,15183.1,1646
27-Feb-2025 12 UTC,20349.6,1671
27-Feb-2025 00 UTC,0,0
26-Feb-2025 12 UTC,0,0
26-Feb-2025 00 UTC,15015.24,2112
25-Feb-2025 12 UTC,14397.32,2041
25-Feb-2025 00 UTC,15324.2,2071
24-Feb-2025 12 UTC,18630.93,2081
24-Feb-2025 00 UTC,0,0
23-Feb-2025 12 UTC,14658.74,2044
23-Feb-2025 00 UTC,14054.61,1994
22-Feb-2025 12 UTC,14460.35,2032
22-Feb-2025 00 UTC,14177.31,1971
21-Feb-2025 12 UTC,15036.21,2037
21-Feb-2025 00 UTC,15644.26,2086
20-Feb-2025 12 UTC,15402.31,2089
20-Feb-2025 00 UTC,15314.37,2137
19-Feb-2025 12 UTC,15494.89,2143
19-Feb-2025 00 UTC,15441.66,2175
18-Feb-2025 12 UTC,15824.28,2159
18-Feb-2025 00 UTC,14903.65,2121
17-Feb-2025 12 UTC,14629.99,2070
17-Feb-2025 00 UTC,14489.99,2046
16-Feb-2025 12 UTC,14489.15,1997
16-Feb-2025 00 UTC,12560.29,1322
15-Feb-2025 12 UTC,12466.31,1296
15-Feb-2025 00 UTC,12635.38,1318
14-Feb-2025 12 UTC,15253.1,2068
14-Feb-2025 00 UTC,15244.59,2091
13-Feb-2025 12 UTC,15047.97,2058
