username,payout,points,total_payout,total_points,total_wus,created_at
7hhtscyg3t5j,37.58,376395,64.85,474537,11,2022-04-09T01:24:09.181Z
7hdyphdwfb8q,32.39,615680,2277.88,25353898,331,2021-04-21T11:35:21.521Z
7is17iezhpr3,2.6,5529,1711.24,2480765,453,2021-05-04T02:44:58.57Z
7isfjl3jl03j,22.47,137770,9157.17,39233619,1633,2021-02-14T15:33:59.442Z
7gnc1s0jjspd,12.68,84800,1958.17,9842783,870,2021-07-19T09:55:59.452Z
7g4ajn6lqc15,32.19,294799,14601.47,129887738,435,2021-04-04T05:32:11.26Z
7g30zak1mca4,88.86,2266542,27329.28,771756231,3053,2021-06-14T05:56:21.259Z
7fvlu0upocw0,12.56,83800,464.82,2517808,172,2022-01-29T19:03:15.551Z
7fykyrte623g,2.69,15433,8462.18,46791314,1579,2021-04-23T12:03:05.954Z
7ia4xdhm4tbf,22.51,1099276,11474.86,535280760,3036,2021-04-14T11:29:02.711Z
7fsvda15d80w,2.65,7300,16.01,36800,16,2022-04-17T19:41:17.272Z
7f2t1avgkbzs,2.6,4500,134.13,201797,53,2021-05-13T12:06:32.892Z
7eihkr1ibb04,49.59,610437,9781.07,146414180,645,2021-04-14T17:52:24.334Z
7efejum9y8xb,10.49,67770,2782.75,54574908,214,2021-11-03T08:12:13.853Z
